instrument_name,currency,type,strike,expiration_timestamp,expiration,creation_timestamp,contract_size,tick_size,min_trade_amount,spot_ref,mark_price,best_bid_price,best_ask_price,underlying_price,mark_iv,bid_iv,ask_iv,open_interest,volume,volume_usd,delta,gamma,theta,vega
BTC-13MAR26-61000-C,BTC,call,61000.0,1773388800000,2026-03-13 08:00:00+00:00,1771910221000,1.0,0.0001,0.1,66742.5678,0.0951,0.0815,0.101,66342.3,63.29,28.16,74.21,2.0,0.0,0.0,0.78695,4e-05,-93.14463,34.6075
BTC-13MAR26-62000-C,BTC,call,62000.0,1773388800000,2026-03-13 08:00:00+00:00,1771488020000,1.0,0.0001,0.1,66742.5678,0.0829,0.081,0.0855,66342.3,61.1,57.88,65.72,9.1,0.0,0.0,0.74925,4e-05,-98.46943,37.89797
BTC-13MAR26-63000-C,BTC,call,63000.0,1773388800000,2026-03-13 08:00:00+00:00,1771516320000,1.0,0.0001,0.1,66742.5678,0.0714,0.07,0.0735,66341.29,59.4,57.14,62.78,29.5,2.2,8287.96,0.70473,5e-05,-103.81218,41.09982
BTC-13MAR26-64000-C,BTC,call,64000.0,1773388800000,2026-03-13 08:00:00+00:00,1771488020000,1.0,0.0001,0.1,66742.5678,0.0606,0.059,0.063,66341.29,57.56,55.23,61.28,43.2,15.2,72302.81,0.65522,5e-05,-107.35771,43.85923
BTC-13MAR26-65000-C,BTC,call,65000.0,1773388800000,2026-03-13 08:00:00+00:00,1771488020000,1.0,0.0001,0.1,66742.5678,0.0508,0.0505,0.052,66341.16,56.27,55.86,58.02,138.5,51.4,191659.11,0.59975,6e-05,-110.10097,46.00859
BTC-13MAR26-66000-C,BTC,call,66000.0,1773388800000,2026-03-13 08:00:00+00:00,1771488020000,1.0,0.0001,0.1,66742.5678,0.042,0.0415,0.0425,66341.16,55.18,54.45,55.86,222.2,58.8,165284.77,0.54045,6e-05,-110.88577,47.25701
BTC-13MAR26-67000-C,BTC,call,67000.0,1773388800000,2026-03-13 08:00:00+00:00,1771488020000,1.0,0.0001,0.1,66742.5678,0.0342,0.0335,0.0345,66341.29,54.14,53.19,54.59,133.4,11.2,29672.42,0.47882,6e-05,-109.2002,47.43459
BTC-13MAR26-68000-C,BTC,call,68000.0,1773388800000,2026-03-13 08:00:00+00:00,1771488020000,1.0,0.0001,0.1,66742.5678,0.0275,0.027,0.028,66341.16,53.4,52.72,54.15,284.6,38.3,72062.74,0.41691,6e-05,-105.51238,46.46752
BTC-13MAR26-69000-C,BTC,call,69000.0,1773388800000,2026-03-13 08:00:00+00:00,1771488020000,1.0,0.0001,0.1,66742.5678,0.0222,0.0215,0.0225,66340.96,53.39,52.39,53.88,390.0,13.7,24342.3,0.35861,6e-05,-101.00544,44.48564
BTC-13MAR26-70000-C,BTC,call,70000.0,1773388800000,2026-03-13 08:00:00+00:00,1771488020000,1.0,0.0001,0.1,66742.5678,0.0175,0.0165,0.0175,66340.74,53.04,51.48,53.09,455.5,29.0,39580.59,0.30279,6e-05,-93.77293,41.57213
BTC-13MAR26-71000-C,BTC,call,71000.0,1773388800000,2026-03-13 08:00:00+00:00,1771579980000,1.0,0.0001,0.1,66742.5678,0.0139,0.013,0.0135,66340.96,53.23,51.71,52.59,139.4,8.5,8863.98,0.25378,5e-05,-86.33254,38.13789
